team,elo,rank
Kuwait,1473.9603616029356,187
West Papua,1473.5655949123147,188
Åland Islands,1473.398308142368,189
Sápmi,1472.9381433778988,190
Székely Land,1472.074964855182,191
Kenya,1471.5912420193174,192
Franconia,1471.20654375646,193
Sierra Leone,1469.983725532459,194
Romani people,1469.821125916528,195
South Yemen,1468.748163649361,196
Vietnam,1467.615192236768,197
Greenland,1465.2368260951612,198
Aymara,1463.1833631032425,199
Provence,1461.0696697468027,200
Hmong,1460.05704853343,201
Luxembourg,1458.1857968972706,202
Kabylia,1456.6608878378509,203
Mayotte,1454.6337764227078,204
East Turkestan,1453.6933533009055,205
Papua New Guinea,1453.450565709564,206
Kyrgyzstan,1451.6847845059397,207
Chechnya,1451.2800007348665,208
Rwanda,1447.5345075922503,209
Saarland,1446.8454612327384,210
Mauritania,1444.087739162465,211
Equatorial Guinea,1443.8555756459655,212
Gotland,1443.739988860772,213
Vanuatu,1440.6780848692129,214
Faroe Islands,1440.597091132802,215
Lebanon,1440.4305295486179,216
Malawi,1437.2588929281942,217
Liberia,1436.6574089771543,218
Monaco,1436.6039668233796,219
Tajikistan,1436.3929643857875,220
Western Isles,1433.8079283278857,221
Manchukuo,1430.3536937259698,222
Găgăuzia,1429.4626882877128,223
Armenia,1427.2878746483382,224
Niue,1427.2376518254991,225
Namibia,1422.935552720276,226
Fiji,1422.8332609175518,227
Estonia,1422.8156527153862,228
Palau,1421.5366848649412,229
French Guiana,1420.7369022478633,230
Gozo,1420.5912199256022,231
Lesotho,1417.9483599423031,232
Tanzania,1417.6194142357033,233
Marshall Islands,1416.9334833823773,234
Vatican City,1416.0458176740724,235
Cuba,1413.380240810519,236
Saint Barthélemy,1412.6774620477254,237
Ticino,1405.946384761682,238
Orkney,1397.1337641771684,239
Western Sahara,1396.1540606545198,240
Western Australia,1395.4027735037796,241
Ethiopia,1391.8409997271767,242
Azerbaijan,1390.0194519889737,243
Burundi,1386.779804256958,244
Botswana,1386.6342153895762,245
Turkmenistan,1385.9925687385148,246
Two Sicilies,1384.3360858199696,247
Raetia,1378.4888865885555,248
Solomon Islands,1370.0636115618618,249
Cyprus,1369.5367502795946,250
Central African Republic,1361.4112587075356,251
Guinea-Bissau,1360.4913845762942,252
Barawa,1359.407438230145,253
Chagos Islands,1358.1242893378358,254
Yemen DPR,1354.7157037851034,255
Puerto Rico,1353.2358240860044,256
Saint Vincent and the Grenadines,1352.3855442547117,257
Malta,1348.7446309872396,258
Vietnam Republic,1346.9972386042298,259
Saint Helena,1344.304646034625,260
Hitra,1343.4011336543192,261
Saare County,1340.8164404989755,262
Philippines,1339.1636596455212,263
Bermuda,1335.980756045323,264
Lithuania,1332.710304432335,265
Latvia,1330.0650716416915,266
Congo,1329.0049943089625,267
Micronesia,1328.8371143325148,268
Sark,1327.7116880117576,269
Moldova,1322.002542914555,270
Eswatini,1315.5606732042384,271
Ambazonia,1312.136900676217,272
Hong Kong,1311.7220052780601,273
Saint Martin,1310.2846915479015,274
Yemen,1305.665741869828,275
Sint Maarten,1297.3467096482082,276
Wallis Islands and Futuna,1295.9021219655444,277
Singapore,1293.2346078338542,278
Saint Pierre and Miquelon,1287.4871192396413,279
Belize,1286.6168619917094,280
Grenada,1286.3082680213904,281
South Sudan,1269.9093246688885,282
Tibet,1266.6321869115302,283
Saint Kitts and Nevis,1263.4723803467957,284
Samoa,1248.9715324686413,285
Chad,1245.6792636845914,286
India,1236.09720592233,287
Kiribati,1234.3228482859183,288
Montserrat,1229.1552731114534,289
Tuvalu,1219.0016463370089,290
Saint Lucia,1215.1255799068779,291
Falkland Islands,1214.3740154078262,292
Mauritius,1207.3429016324721,293
Aruba,1206.8885044697606,294
Darfur,1201.8892289110058,295
Eritrea,1197.1745024830618,296
Afghanistan,1196.8324783294547,297
Frøya,1194.1309991750304,298
São Tomé and Príncipe,1180.713828462955,299
Dominica,1163.453729069154,300
Cook Islands,1146.5646620948257,301
Andorra,1142.0682820221684,302
Gibraltar,1135.7033809096552,303
Myanmar,1134.69694083639,304
Bangladesh,1131.2232344204454,305
Barbados,1121.769875146845,306
Bonaire,1115.6429296249455,307
Antigua and Barbuda,1103.2293186814647,308
Nepal,1102.2107955409135,309
Pakistan,1093.131692969152,310
Cambodia,1076.1031612303038,311
Alderney,1076.0423361918618,312
Djibouti,1074.4019499344374,313
Tonga,1072.3717387512697,314
Somalia,1059.834067963704,315
Taiwan,1058.226470866587,316
Cayman Islands,1029.4246379436922,317
British Virgin Islands,1022.2545449563777,318
Sri Lanka,1011.2970664482223,319
Seychelles,1010.2900887946075,320
Maldives,996.4011360721319,321
Mongolia,980.4480030145037,322
Turks and Caicos Islands,975.9361294074615,323
Guam,975.242595942745,324
Liechtenstein,973.5577503035837,325
Northern Mariana Islands,968.6894665634818,326
United States Virgin Islands,965.3956602024593,327
Bahamas,944.4542546593359,328
Laos,937.6242242531818,329
American Samoa,931.2489299479479,330
San Marino,907.1284412645782,331
Timor-Leste,904.3296386116747,332
Anguilla,891.8506826178894,333
Brunei,889.8273932294188,334
Bhutan,859.1534863648991,335
Macau,837.953492601975,336
